id;costing_system;costing_qual;costing_imp;costing_post_imp;active;date_added
1;98844;42940;13729;22597;false;2023-07-20T10:19:15
2;30764;29300;59665;94782;true;2023-07-20T19:01:56
3;85645;6948;45233;56897;true;2023-07-20T12:57:38
4;13162;33516;83;30179;true;2023-07-20T06:59:35
5;33018;6586;67393;8105;false;2023-07-19T23:56:52
6;86483;63746;58928;27582;false;2023-07-20T10:30:42
7;50383;96240;63094;40708;false;2023-07-19T22:46:22
8;82225;35705;69784;87190;false;2023-07-19T21:06:14
9;71778;41149;57335;68792;true;2023-07-20T10:28:48
10;51115;45100;34230;66769;false;2023-07-20T05:46:57
