id;design_estimate;code_estimate;syst_1_estimate;syst_2_estimate;qual_estimate;imp_estimate;post_imp_estimate;total_hours;workrequest_id
1;62556;1127;71754;44171;44484;31216;4882;6913;1
2;62904;5350;79735;6784;16002;36963;31106;9599;2
3;38127;91335;78359;13685;3695;31296;501;43079;3
4;26017;24021;39373;48539;63655;93941;22184;68306;4
5;34288;85668;36415;49501;83649;80532;33045;77362;5
6;61348;2929;28182;32390;66468;69671;29005;39640;6
7;36828;12276;63751;42837;602;1661;90918;82831;7
8;57508;26468;78075;51139;95210;1293;27129;81469;8
9;61638;70198;32182;31117;67579;29655;29533;21767;9
10;53956;61775;61086;39547;75746;95616;19852;18081;10
