id;scope_act;design_act;code_act;syst_1_act;syst_2_act;qual_act;imp_act;post_imp_act;total_act;workrequest_id
1;9891;20710;94114;81798;45364;47274;51910;68222;17426;1
2;35592;27632;68218;84331;93625;32910;86220;75044;918;2
3;14992;29257;18521;77189;14115;77130;14556;87997;24042;3
4;8930;47818;88262;89249;15323;35876;48770;21621;11448;4
5;6165;58671;17254;65625;93175;24106;62651;275;53707;5
6;89526;60796;13396;85194;50823;54298;92545;19024;91090;6
7;39951;44142;43556;90290;49114;22104;88138;35226;49695;7
8;31867;15690;59558;72759;59683;9020;82042;22410;98147;8
9;3363;66058;61466;58660;99992;64031;54782;37884;58773;9
10;99797;74400;22616;5146;28050;78111;71195;23565;80257;10
